DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Mon Dec 13 2021 06:13:46 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016361,XTZ,ooLt8Y6Gi9gJCzbhb8GTMtqTY2M3Dbbz6smupa3WjJSYXVM2WYh,https://tzstats.com/operation/ooLt8Y6Gi9gJCzbhb8GTMtqTY2M3Dbbz6smupa3WjJSYXVM2WYh,,
Thu Dec 16 2021 05:20:26 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017727,XTZ,ooFA9936riUL8wN16D5B6R7qV8hNUvmuyPinvG7LZVqW4UkUZuh,https://tzstats.com/operation/ooFA9936riUL8wN16D5B6R7qV8hNUvmuyPinvG7LZVqW4UkUZuh,,
Sun Dec 19 2021 01:29:36 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016918,XTZ,oo9FkHx1DM1f1tPiitR1p6K6sE94UovPU67bF5vmZ8wLUsFyQwj,https://tzstats.com/operation/oo9FkHx1DM1f1tPiitR1p6K6sE94UovPU67bF5vmZ8wLUsFyQwj,,
Wed Dec 22 2021 07:49:30 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017173,XTZ,oo2tDcDFnmohfUmy9uoNhCYAQBnm4zD1ob7VWCM9yePypD7mw7X,https://tzstats.com/operation/oo2tDcDFnmohfUmy9uoNhCYAQBnm4zD1ob7VWCM9yePypD7mw7X,,
Sat Dec 25 2021 01:12:50 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017499,XTZ,ooQ2dyZ2QzHTD8Gue34wNoCxuigG9XFWQJdm5qDC9QefYMkDaHW,https://tzstats.com/operation/ooQ2dyZ2QzHTD8Gue34wNoCxuigG9XFWQJdm5qDC9QefYMkDaHW,,
Mon Dec 27 2021 23:42:40 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017059,XTZ,ooPcyhB8Nor6HnCi1HXM6nGW9anQrkNAnv5mSGRFQE8mQStEoZ2,https://tzstats.com/operation/ooPcyhB8Nor6HnCi1HXM6nGW9anQrkNAnv5mSGRFQE8mQStEoZ2,,
Thu Dec 30 2021 09:47:04 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0,ATOM,1B6E7D619EF5C1C123457CEB4C6D6A79BEFF52DB146454BAA98D99EE33245BA9,https://www.mintscan.io/cosmos/txs/1B6E7D619EF5C1C123457CEB4C6D6A79BEFF52DB146454BAA98D99EE33245BA9,,
Fri Dec 31 2021 07:48:20 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.019027,XTZ,onkjHDhN4v4gqJAdThj47sBN43vMWpKgydA78BUtUWCUnejYDyY,https://tzstats.com/operation/onkjHDhN4v4gqJAdThj47sBN43vMWpKgydA78BUtUWCUnejYDyY,,
Mon Jan 03 2022 02:30:20 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017703,XTZ,onkHnjKPasLLzKA2Pa3s8bZGwMM9REhUoVvCa968M2QhEWcVKHp,https://tzstats.com/operation/onkHnjKPasLLzKA2Pa3s8bZGwMM9REhUoVvCa968M2QhEWcVKHp,,
Thu Jan 06 2022 01:15:10 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018071,XTZ,onpdxvmBHJAdhK8pD2jKbdmZtvSnAHjWEdqGQC4K1jhzxmYQjz5,https://tzstats.com/operation/onpdxvmBHJAdhK8pD2jKbdmZtvSnAHjWEdqGQC4K1jhzxmYQjz5,,
Sun Jan 09 2022 00:47:00 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018549,XTZ,ooxyrXBdAtKfC2aph5kBy9LbV3H1rFudJnx5iTDLAJmjVe3Z592,https://tzstats.com/operation/ooxyrXBdAtKfC2aph5kBy9LbV3H1rFudJnx5iTDLAJmjVe3Z592,,
